Cluster,N_Components,BIC,AIC,Log_Likelihood
60,1,-256.8651780392488,-216.9743115120417,173.48715575602085
60,2,-234.82229234290205,-154.42685364960772,208.21342682480386
60,3,-176.2335780168492,-55.333567157467655,224.66678357873383
60,4,-103.4195677987068,57.98501522676196,234.00749238661902
61,1,-213.81324075557285,-173.92237422836575,151.96118711418288
61,2,-204.36436733646397,-123.96892864316965,192.98446432158482
61,3,-167.63897661161042,-46.738965752228864,220.36948287611443
61,4,-103.4195677987068,57.98501522676196,234.00749238661902
62,1,-221.0721132917401,-181.181246764533,155.5906233822665
62,2,-209.916463951223,-129.52102525792867,195.76051262896434
62,3,-169.99994265268197,-49.099931793300414,221.5499658966502
62,4,-103.4195677987068,57.98501522676196,234.00749238661902
64,1,-230.94380177274127,-191.05293524553417,160.5264676227671
64,2,-214.9558925999257,-134.56045390663138,198.2802269533157
64,3,-171.8266175459584,-50.92660668657686,222.46330334328843
64,4,-103.4195677987068,57.98501522676196,234.00749238661902
66,1,-232.98481486682533,-193.09394833961824,161.54697416980912
66,2,-218.65500112528545,-138.25956243199113,200.12978121599556
66,3,-176.61452883970736,-55.71451798032581,224.8572589901629
66,4,-103.4195677987068,57.98501522676196,234.00749238661902
68,1,-204.83357273587956,-146.2433714993067,138.12168574965335
68,2,-183.9040682191792,-65.82227803470158,163.9111390173508
68,3,-136.31071014702158,41.26266898536079,176.3686655073196
69,1,-178.73239659691376,-93.78696333331021,111.8934816666551
69,2,-145.97780045550593,25.21991889114122,118.39004055442939
71,1,-168.64642045700742,-83.70098719340388,106.85049359670194
71,2,-145.97780045550593,25.21991889114122,118.39004055442939
74,1,-167.79721482514083,-82.85178156153728,106.42589078076864
74,2,-145.97780045550593,25.21991889114122,118.39004055442939
75,1,-238.62933522719123,-198.73846869998414,164.36923434999207
75,2,-243.32923993833347,-162.93380124503915,212.46690062251957
75,3,-176.61452883970736,-55.71451798032581,224.8572589901629
75,4,-103.4195677987068,57.98501522676196,234.00749238661902
77,1,-339.4897621023258,-335.97392179092117,232.98696089546058
77,2,-384.2741614908375,-377.1883910170835,319.59419550854176
77,3,-337.0134867280919,-326.3577860919886,360.1788930459943
77,4,-248.72121394223342,-234.49558314378078,380.2477915718904
78,1,-163.9045743900964,-78.95914112649285,104.47957056324643
78,2,-145.97780045550593,25.21991889114122,118.39004055442939
86,1,-194.49810309470212,-109.55266983109857,119.77633491554928
86,2,-148.75038917774572,22.44733016890143,119.77633491554928
94,1,-166.5409739138205,-81.59554065021695,105.79777032510847
94,2,-145.97780045550593,25.21991889114122,118.39004055442939
101,1,-228.74411500404608,-170.15391376747323,150.0769568837366
101,2,-190.6642141427504,-72.58242395827278,167.2912119791364
101,3,-136.31071014702158,41.26266898536079,176.3686655073196
102,1,-168.00565745310334,-83.06022418949979,106.5301120947499
102,2,-145.97780045550593,25.21991889114122,118.39004055442939
103,1,-219.3581075573602,-160.76790632078735,145.38395316039367
103,2,-187.75637043808885,-69.67458025361123,165.8372901268056
103,3,-136.31071014702158,41.26266898536079,176.3686655073196
106,1,-206.8264245646851,-148.23622332811226,139.11811166405613
106,2,-186.72935739435357,-68.64756720987594,165.32378360493797
106,3,-136.31071014702158,41.26266898536079,176.3686655073196
112,1,-227.27987315209805,-187.38900662489095,158.69450331244548
112,2,-216.41579815270094,-136.02035945940662,199.0101797297033
112,3,-170.99381438882256,-50.093803529441004,222.0469017647205
112,4,-103.4195677987068,57.98501522676196,234.00749238661902
113,1,-216.65181260280184,-158.061611366229,144.0308056831145
113,2,-191.78806262674217,-73.70627244226455,167.85313622113227
113,3,-136.31071014702158,41.26266898536079,176.3686655073196
117,1,-217.0388362190397,-158.44863498246684,144.22431749123342
117,2,-187.2101491539772,-69.12835896949957,165.5641794847498
117,3,-136.31071014702158,41.26266898536079,176.3686655073196
118,1,-177.0852629159483,-92.13982965234476,111.06991482617238
118,2,-145.97780045550593,25.21991889114122,118.39004055442939
119,1,-205.94481721499642,-147.35461597842357,138.67730798921178
119,2,-184.51020949934187,-66.42841931486424,164.21420965743212
119,3,-136.31071014702158,41.26266898536079,176.3686655073196
123,1,-163.0016377399749,-78.05620447637136,104.02810223818568
123,2,-145.97780045550593,25.21991889114122,118.39004055442939
